ts_iso,x,y,z
2025-09-26T09:33:47.116503,-0.061,-0.305,-0.122
2025-09-26T09:33:47.242509,0.0,-0.305,-0.122
2025-09-26T09:33:47.317554,-0.061,-0.488,-0.122
2025-09-26T09:33:47.396569,-0.122,-0.427,-0.061
2025-09-26T09:33:47.456908,-0.061,-0.488,-0.122
2025-09-26T09:33:47.534981,0.0,-0.122,-0.122
2025-09-26T09:33:47.697751,-0.061,-0.549,-0.061
2025-09-26T09:33:47.754788,-0.061,-0.427,-0.061
2025-09-26T09:33:47.858577,-0.061,-0.183,-0.122
2025-09-26T09:33:47.955250,-0.061,-0.549,-0.122
2025-09-26T09:33:48.054319,-0.061,-0.366,-0.122
2025-09-26T09:33:48.113267,0.0,-0.183,-0.122
2025-09-26T09:33:48.196107,-0.061,-0.488,-0.061
2025-09-26T09:33:48.269441,0.0,-0.183,-0.183
2025-09-26T09:33:48.332724,-0.061,0.488,-0.061
2025-09-26T09:33:48.393385,-0.122,-1.587,0.061
2025-09-26T09:33:48.446075,-0.183,-2.075,0.305
2025-09-26T09:33:48.541162,-0.061,-2.258,0.244
2025-09-26T09:33:48.606623,0.061,1.16,-0.305
2025-09-26T09:33:48.661242,-0.061,-0.183,0.0
2025-09-26T09:33:48.732633,0.0,0.183,-0.305
2025-09-26T09:33:48.785660,-0.061,-0.427,-0.061
2025-09-26T09:33:48.834354,0.0,-0.61,-0.122
2025-09-26T09:33:48.928662,0.0,0.244,-0.183
2025-09-26T09:33:48.956799,-0.061,-0.122,-0.183
2025-09-26T09:33:49.010537,-0.061,-1.221,-0.061
2025-09-26T09:33:49.049322,0.0,0.061,-0.183
2025-09-26T09:33:49.082391,0.0,-0.366,-0.122
2025-09-26T09:33:49.130315,0.0,-0.366,-0.183
2025-09-26T09:33:49.175705,0.0,-0.488,-0.244
2025-09-26T09:33:49.241293,0.0,1.099,-0.183
2025-09-26T09:33:49.299912,-0.122,-1.831,0.061
2025-09-26T09:33:49.335940,-0.122,-1.526,-0.183
2025-09-26T09:33:49.380140,-0.061,0.061,0.183
2025-09-26T09:33:49.429632,-0.122,-1.038,0.366
2025-09-26T09:33:49.457383,-0.061,0.244,-0.061
2025-09-26T09:33:49.503069,-0.122,-0.793,0.183
2025-09-26T09:33:49.560495,-0.122,-1.77,0.0
2025-09-26T09:33:49.596347,0.0,0.366,-0.244
2025-09-26T09:33:49.644345,-0.061,-0.488,0.061
2025-09-26T09:33:49.676553,-0.122,0.305,0.183
2025-09-26T09:33:49.734617,0.0,0.61,-0.244
2025-09-26T09:33:49.783173,-0.122,-1.953,0.244
2025-09-26T09:33:49.815289,0.305,-0.488,-1.648
2025-09-26T09:33:49.865165,0.061,-0.122,-0.366
2025-09-26T09:33:49.920085,-0.061,0.061,0.0
2025-09-26T09:33:49.956956,0.0,1.343,-0.305
2025-09-26T09:33:50.006744,0.0,0.793,-0.244
2025-09-26T09:33:50.050677,-0.183,0.977,0.244
2025-09-26T09:33:50.083011,-0.061,0.793,-0.244
2025-09-26T09:33:50.140201,-0.061,-0.916,-0.122
2025-09-26T09:33:50.175876,-0.061,-1.343,-0.183
2025-09-26T09:33:50.228801,-0.183,-0.977,0.427
2025-09-26T09:33:50.268906,0.183,1.099,-0.854
2025-09-26T09:33:50.315914,-0.061,-1.038,0.0
2025-09-26T09:33:50.379651,0.0,-0.122,-0.244
2025-09-26T09:33:50.428590,0.0,-0.549,0.0
2025-09-26T09:33:50.469956,0.0,0.366,-0.122
2025-09-26T09:33:50.600319,-0.122,-0.427,0.0
2025-09-26T09:33:50.645815,-0.061,0.366,-0.122
2025-09-26T09:33:50.691654,-0.061,-0.183,0.0
2025-09-26T09:33:50.751763,-0.061,-1.038,-0.244
2025-09-26T09:33:50.790251,-0.061,-0.61,-0.244
2025-09-26T09:33:50.832039,-0.061,-0.671,0.122
2025-09-26T09:33:50.884231,0.0,1.587,-0.061
2025-09-26T09:33:50.941949,-0.122,0.061,0.122
2025-09-26T09:33:50.973943,-0.488,0.488,1.282
2025-09-26T09:33:51.034558,-0.61,-3.113,1.709
2025-09-26T09:33:51.105762,-0.305,-7.751,-0.61
2025-09-26T09:33:51.161636,-0.061,0.549,-0.549
2025-09-26T09:33:51.220638,-0.366,-6.47,0.671
2025-09-26T09:33:51.268887,-0.122,-6.714,-1.404
2025-09-26T09:33:51.316451,0.549,-6.714,-3.479
2025-09-26T09:33:51.367617,-1.77,-3.723,-1.465
2025-09-26T09:33:51.423987,0.061,-4.272,-0.671
2025-09-26T09:33:51.492984,-0.061,-3.174,0.244
2025-09-26T09:33:51.558418,0.122,0.61,-0.549
2025-09-26T09:33:51.616506,0.183,0.122,-1.526
2025-09-26T09:33:51.693371,-0.183,1.099,0.854
2025-09-26T09:33:51.769731,-0.061,3.906,1.77
2025-09-26T09:33:51.833597,-0.122,5.737,1.465
2025-09-26T09:33:51.900311,-0.061,1.038,1.099
2025-09-26T09:33:52.016304,-0.305,-0.854,1.099
2025-09-26T09:33:52.112889,-0.061,0.977,0.061
2025-09-26T09:33:52.178625,0.0,0.0,-0.305
2025-09-26T09:33:52.238206,-0.122,-1.16,0.244
2025-09-26T09:33:52.285415,-0.061,0.671,-0.061
2025-09-26T09:33:52.347912,-0.061,-1.221,0.0
2025-09-26T09:33:52.413789,-0.122,-0.427,0.0
2025-09-26T09:33:52.458425,-0.061,0.916,-0.183
2025-09-26T09:33:52.525657,-0.122,-1.221,0.0
2025-09-26T09:33:52.603458,-0.061,-0.366,-0.122
2025-09-26T09:33:52.663139,0.0,-0.244,-0.183
2025-09-26T09:33:52.723595,-0.061,-1.343,-0.122
2025-09-26T09:33:52.769209,0.122,-1.099,0.061
2025-09-26T09:33:52.834352,0.061,-1.343,-1.16
2025-09-26T09:33:52.909731,0.244,-1.404,0.183
2025-09-26T09:33:52.960070,-0.122,-0.061,0.244
2025-09-26T09:33:53.027045,-0.122,1.465,-0.183
2025-09-26T09:33:53.086132,-0.061,-0.061,-0.366
2025-09-26T09:33:53.143447,-0.061,0.549,0.061
2025-09-26T09:33:53.222521,-0.061,-0.122,0.0
2025-09-26T09:33:53.294340,-0.122,0.0,0.122
2025-09-26T09:33:53.332897,-0.061,-1.343,-0.122
2025-09-26T09:33:53.441061,0.0,-0.061,-0.122
2025-09-26T09:33:53.494509,-0.061,-1.343,0.0
2025-09-26T09:33:53.565447,0.0,-1.221,-0.122
2025-09-26T09:33:53.636361,-0.061,0.183,-0.183
2025-09-26T09:33:53.691625,-0.061,0.0,-0.122
2025-09-26T09:33:53.776911,-0.061,0.0,-0.061
2025-09-26T09:33:53.816780,-0.061,-0.793,0.0
2025-09-26T09:33:53.878569,-0.061,-0.305,-0.122
2025-09-26T09:33:53.943019,-0.061,0.061,0.0
2025-09-26T09:33:54.016325,0.0,-0.488,-0.183
2025-09-26T09:33:54.069475,0.0,0.0,-0.061
2025-09-26T09:33:54.130305,0.0,-0.61,-0.183
2025-09-26T09:33:54.190277,-0.061,-0.366,-0.122
2025-09-26T09:33:54.269192,-0.061,-0.854,-0.183
2025-09-26T09:33:54.332678,0.0,-0.732,0.0
2025-09-26T09:33:54.396896,-0.061,-1.099,-0.061
2025-09-26T09:33:54.467463,-0.061,-0.061,-0.244
2025-09-26T09:33:54.525055,-0.061,0.122,-0.122
2025-09-26T09:33:54.593436,0.0,-0.244,-0.061
2025-09-26T09:33:54.668781,0.0,-0.244,-0.122
2025-09-26T09:33:54.746154,-0.061,-0.793,-0.122
2025-09-26T09:33:54.793807,-0.061,-0.366,-0.122
2025-09-26T09:33:54.859704,-0.061,-0.671,0.0
2025-09-26T09:33:54.920345,-0.061,-0.61,0.0
2025-09-26T09:33:54.968446,0.0,-0.305,-0.061
2025-09-26T09:33:55.015998,-0.061,0.061,-0.244
